d,u_*,threshold_type,p,rho_f,rho_s,sediment,nu,T,g,gamma,molecular_mass,fluid1,fluid1_proportion,fluid2,fluid2_proportion,flow_depth,tunnel,ref,reffull
m,m/s,word,Pa,kg/m^3,kg/m^3,word,m^2/s,K,m/s^2,unitless,g/mol,word,%,word,%,m,word,word,string
0.00032,0.26883767079428,flux_fit,100853.56,1.1985,2650,quartz,1.51218403838131E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.482995745591737,Aarhus Tilting,iversen1999,"Iversen \& Rasmussen, 1999"
0.000544,0.350950407509274,flux_fit,100853.56,1.1985,2650,quartz,1.51218403838131E-05,293.15,9.81,1.4,28.964,air,100,none,0,0.482995745591737,Aarhus Tilting,iversen1999,"Iversen \& Rasmussen, 1999"
0.000165,0.041381011326189,no-motion-ramp-down,2000000,23.5970972206909,1100,walnut shells,7.75038700719332E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.044124595847229,no-motion-ramp-down,1500000,17.6824290997227,1100,walnut shells,1.03428456958772E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.053655018139663,no-motion-ramp-down,1250000,14.7658072372078,1100,walnut shells,1.2385820346203E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.063489534006119,no-motion-ramp-down,800000,9.44960842638716,1100,walnut shells,1.93538850981408E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.100977456312836,no-motion-ramp-down,300000,3.52191240206881,1100,walnut shells,5.1928218203068E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.095673299107271,no-motion-ramp-down,300000,3.52191240206881,1100,walnut shells,5.1928218203068E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.064090690913396,no-motion-ramp-down,800000,9.44960842638716,1100,walnut shells,1.93538850981408E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.056848019648117,no-motion-ramp-down,1250000,14.6812036905167,1100,walnut shells,1.24571962600625E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.050488116241076,no-motion-ramp-down,1500000,17.5665905464319,1100,walnut shells,1.04110490435418E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.046889693332688,no-motion-ramp-down,2000000,23.4260627965776,1100,walnut shells,7.80697282743728E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.047136920766097,no-motion-ramp-down,2000000,23.4260627965776,1100,walnut shells,7.80697282743728E-07,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.052699041649528,no-motion-ramp-down,1500000,17.6741659381963,1100,walnut shells,1.03476812623716E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
0.000165,0.065289024748772,no-motion-ramp-down,800000,9.47938645691469,1100,walnut shells,1.92930878530978E-06,296.65,9.81,1.4,28.964,air,100,none,0,0.203,TWT,burr2020,"Burr et al., 2020"
